"security_id","symbol","name","series","tick_size","lot_size","instrument_type","segment","exchange","upper_limit","lower_limit","expiry_date","strike_price","freeze_quantity"
"13625","BINANIIND","BINANI INDUSTRIES LTD","EQ","5.0000","1","ES","E","NSE","15.6000","14.1500","","","1025673"
"530133","AMCOIND","Amco India","X","1.0000","1","ES","E","BSE","70.8600","47.2400","","","-1"
"500365","WELSPLSOL","Welspun Specialty Solution","B","1.0000","1","ES","E","BSE","40.2300","32.9300","","","-1"
"7427","MANAKALUCO","MANAK ALUMINIUM CO. LTD.","BE","5.0000","1","ES","E","NSE","24.7000","22.4000","","","2142963"
"514138","SURYALA","Suryalata Spinning Mills","X","5.0000","1","ES","E","BSE","472.5500","315.0500","","","-1"
"15044","DELTACORP","Delta Corp","EQ","5.0000","1","ES","E","NSE","123.3500","111.6500","","","850976"
"539196","AEL","Amba Enterprises","X","5.0000","1","ES","E","BSE","181.6000","121.1000","","","-1"
"928","ELECTCAST","Electrosteel Castings","EQ","5.0000","1","ES","E","NSE","179.5500","162.4500","","","584496"
"532357","MUKTAARTS","Mukta Arts","B","1.0000","1","ES","E","BSE","70.1900","63.5100","","","-1"
"17635","ZYDUSWELL","Zydus Wellness","EQ","5.0000","1","ES","E","NSE","1797.1000","1626.0000","","","58414"
"519439","PIONAGR","Pioneer Agro Extracts","X","1.0000","1","ES","E","BSE","9.7700","8.8500","","","-1"
"542011","GRSE","Garden Reach Shipbuilders","A","5.0000","1","ES","E","BSE","1095.0500","730.0500","","","-1"
"530139","KREONFIN","Kreon Finnancial Services","X","1.0000","1","ES","E","BSE","43.7800","39.6200","","","-1"
"676","EXIDEIND","Exide Industries","EQ","5.0000","1","ES","E","NSE","474.8500","429.6500","","","220999"
"512197","SILVERO","Silver Oak Commercial","Z","1.0000","1","ES","E","BSE","3.2900","2.9900","","","-1"
"505700","ELECON","Elecon Engineering Co.","A","5.0000","1","ES","E","BSE","1194.9500","796.6500","","","-1"
"11626","WELENT","Welspun Enterprises","EQ","5.0000","1","ES","E","NSE","394.5000","357.0000","","","266031"
"539141","UFO","Ufo Moviez India","B","5.0000","1","ES","E","BSE","157.4000","105.0000","","","-1"
"507910","FIBERWEB","Fiberweb","B","1.0000","1","ES","E","BSE","46.0800","30.7200","","","-1"
"515093","MADHAV","Madhav Marbles & Granites","T","1.0000","1","ES","E","BSE","42.4800","38.4400","","","-1"
"13457","KAMDHENU","Kamdhenu","EQ","5.0000","1","ES","E","NSE","533.2000","482.4500","","","196898"
"532380","BABA","Baba Arts","X","1.0000","1","ES","E","BSE","17.0500","11.3700","","","-1"
"18039","ADVENZYMES","Advanced Enzyme Tech","EQ","5.0000","1","ES","E","NSE","413.4500","374.1500","","","253840"
"532772","DCBBANK","DCB Bank","A","5.0000","1","ES","E","BSE","156.6500","104.4500","","","-1"
"540006","EASTWEST","East West Holdings Limite","X","1.0000","1","ES","E","BSE","6.4900","5.3100","","","-1"
"532896","MAGNUM","Magnum Ventures","B","1.0000","1","ES","E","BSE","62.5300","56.5900","","","-1"
"14966","CSBBANK","CSB Bank","EQ","5.0000","1","ES","E","NSE","377.0500","341.1500","","","278444"
"2643","PFIZER","Pfizer","EQ","5.0000","1","ES","E","NSE","4555.4000","4121.6000","","","23011"
"501150","CENTRUM","Centrum Capital","B","1.0000","1","ES","E","BSE","47.9500","31.9700","","","-1"
"532633","ALLSEC","Allsec Technologies","B","5.0000","1","ES","E","BSE","1179.7000","786.5000","","","-1"
"9683","KPITTECH","Kpit Technologies","EQ","5.0000","1","ES","E","NSE","1537.0500","1390.7000","","","68261"
"509488","GRAPHITE","Graphite India","A","5.0000","1","ES","E","BSE","675.0500","450.0500","","","-1"
"523586","INDTONER","Indian Toners & Developer","X","5.0000","1","ES","E","BSE","324.3500","216.2500","","","-1"
"20413","IOLCP","IOL Chem And Pharma","EQ","5.0000","1","ES","E","NSE","400.2500","362.1500","","","262296"
"523732","ECOBOAR","ECOBOARD INDUSTRIES LTD.","X","1.0000","1","ES","E","BSE","40.6400","36.7800","","","-1"
"236","ASIANPAINT","Asian Paints","EQ","5.0000","1","ES","E","NSE","2909.8000","2632.7000","","","35490"
"532486","POKARNA","Pokarna","B","5.0000","1","ES","E","BSE","528.0000","352.0000","","","-1"
"916","EIDPARRY","EID Parry","EQ","5.0000","1","ES","E","NSE","638.0500","577.3500","","","164381"
"500150","FOSECOIND","FOSECO","B","5.0000","1","ES","E","BSE","3940.7000","2627.2000","","","-1"
"11817","MANGALAM","MANGALAM DRUG & CHEM LTD","EQ","5.0000","1","ES","E","NSE","100.7000","91.1500","","","517583"
"517554","NHCFOODS","Nhc Foods","X","1.0000","1","ES","E","BSE","46.6800","31.1200","","","-1"
"2859","RAYMOND","Raymond","EQ","5.0000","1","ES","E","NSE","2257.4000","2042.4500","","","46468"
"515043","SAINTGOBAIN","Saint-Gobain Sekurit Indi","B","5.0000","1","ES","E","BSE","168.3500","112.2500","","","-1"
"19731","GPPL","Gujarat Pipavav Port","EQ","5.0000","1","ES","E","NSE","208.5000","188.7000","","","503260"
"14350","ORIENTALTL","ORIENTAL TRIMEX LTD","BE","5.0000","1","ES","E","NSE","8.4500","7.6500","","","961475"
"500048","BEML","BEML","A","5.0000","1","ES","E","BSE","3851.7500","2567.8500","","","-1"
"532733","SUNTV","Sun Tv Network","A","5.0000","1","ES","E","BSE","737.0000","603.0000","","","-1"
"2866","RCF","Rashtriya Chemicals & Fer","EQ","5.0000","1","ES","E","NSE","147.4500","133.4500","","","711677"
"532508","JSL","Jindal Stainless","A","5.0000","1","ES","E","BSE","824.0000","549.4000","","","-1"
"533543","BROOKS","Brooks Laboratories","T","5.0000","1","ES","E","BSE","104.4500","94.5500","","","-1"
"531637","PRAVEG","Praveg Limited","B","5.0000","1","ES","E","BSE","993.4000","812.8000","","","-1"
"506261","MODISONLTD","Modison","T","5.0000","1","ES","E","BSE","136.3000","123.4000","","","-1"
"507621","MLKFOOD","Milkfood","X","5.0000","1","ES","E","BSE","630.3000","420.2000","","","-1"
"539787","HCG","Healthcare Global Enterprises","B","5.0000","1","ES","E","BSE","426.7500","284.5500","","","-1"
"11581","GULFPETRO","Gp Petroleums","EQ","5.0000","1","ES","E","NSE","65.8000","59.6000","","","1594893"
"531460","CONTICON","Continental Controls","XT","1.0000","1","ES","E","BSE","13.6800","13.1600","","","-1"
"18844","NIRAJISPAT","Niraj Ispat Ind","BE","5.0000","1","ES","E","NSE","200.9500","181.8500","","","19619"
"514165","INDIANACRY","Indian Acrylics","X","1.0000","1","ES","E","BSE","15.4800","10.3200","","","-1"
"11549","TEXINFRA","Texmaco Infra & Holdg","EQ","5.0000","1","ES","E","NSE","94.1500","85.2500","","","1114727"
"500089","DICIND","DIC","B","5.0000","1","ES","E","BSE","558.7000","372.5000","","","-1"
"521062","OCTAVE","Perfect-Octave Media Proj","XT","1.0000","1","ES","E","BSE","2.4600","2.3800","","","-1"
"531878","ANJANIFIN","Anjani Finance","X","1.0000","1","ES","E","BSE","12.1100","9.9100","","","-1"
"513713","WHITEORG","White Organic Agro Limite","X","1.0000","1","ES","E","BSE","8.9800","6.0000","","","-1"
"30038","FCONSUMER","Future Consumer","EQ","5.0000","1","ES","E","NSE","1.2000","1.1000","","","65303032"
"532689","PVRINOX","PVR INOX LIMITED","A","5.0000","1","ES","E","BSE","1417.5500","1159.8500","","","-1"
"11325","MUKANDLTD","Mukand","EQ","5.0000","1","ES","E","NSE","175.0000","158.4000","","","599801"
"538646","QGO","Qgo Finance","X","1.0000","1","ES","E","BSE","69.6200","46.4200","","","-1"
"530595","TELECANOR","Telecanor Global","XT","1.0000","1","ES","E","BSE","5.4200","4.9200","","","-1"
"517096","APLAB","Aplab","X","5.0000","1","ES","E","BSE","104.5500","94.6500","","","-1"
"13880","BANCOINDIA","Banco Products","EQ","5.0000","1","ES","E","NSE","607.3000","549.5000","","","172860"
"502937","KESORAMIND","Kesoram Industries","A","5.0000","1","ES","E","BSE","192.9500","157.9500","","","-1"
"1053","UFLEX","Uflex","EQ","5.0000","1","ES","E","NSE","447.7500","405.1500","","","234470"
"511559","TIMESGTY","Times Guaranty","T","1.0000","1","ES","E","BSE","95.3700","91.6300","","","-1"
"521054","KAKTEX","Kakatiya Textiles","X","1.0000","1","ES","E","BSE","31.7400","28.7200","","","-1"
"13355","MALUPAPER","MALU PAPER MILLS LIMITED","BE","5.0000","1","ES","E","NSE","36.6000","33.1500","","","557837"
"507717","DHANUKA","Dhanuka Agritech","B","5.0000","1","ES","E","BSE","1544.5000","1029.7000","","","-1"
"503162","RELCHEMQ","Reliance Chemotex Ind.","B","5.0000","1","ES","E","BSE","254.7000","169.8000","","","-1"
"11488","KRIDHANINF","KRIDHAN INFRA LIMITED","BE","5.0000","1","ES","E","NSE","4.0500","3.7000","","","3099280"
"538666","SHARDACROP","Sharda Cropchem","A","5.0000","1","ES","E","BSE","432.1500","288.1500","","","-1"
"526961","LASTMILE","Trans Financial Resources","XT","5.0000","1","ES","E","BSE","895.0000","809.8000","","","-1"
"3912","KHAITANLTD","KHAITAN (INDIA)LTD.","EQ","5.0000","1","ES","E","NSE","69.3500","62.7500","","","155324"
"524606","BERLDRG","Beryl Drugs","X","1.0000","1","ES","E","BSE","36.5700","29.9300","","","-1"
"15337","RAIN","Rain Industries","EQ","5.0000","1","ES","E","NSE","164.3500","148.7500","","","638720"
"539090","RAJPUTANA","Rajputana Investment And","X","1.0000","1","ES","E","BSE","43.7300","39.5700","","","-1"
"13251","SAKUMA","Sakuma Exports","EQ","5.0000","1","ES","E","NSE","27.6500","25.0500","","","3794819"
"500074","BPL","BPL","B","5.0000","1","ES","E","BSE","120.1000","80.1000","","","-1"
"531888","REXNORD","Rexnord Electronics & Con","X","5.0000","1","ES","E","BSE","173.4500","115.6500","","","-1"
"538970","WARDINMOBI","Wardwizard Innovations","B","1.0000","1","ES","E","BSE","62.1000","50.8200","","","-1"
"532742","PAUSHAKLTD","Paushak","B","5.0000","1","ES","E","BSE","6213.9000","4142.6000","","","-1"
"11377","MAHABANK","Bank Of Maharashtra","EQ","5.0000","1","ES","E","NSE","67.0500","60.7000","","","1557902"
"17999","UNITEDTEA","United Nilgiri Tea","EQ","5.0000","1","ES","E","NSE","348.0000","314.9000","","","163387"
"519477","CIANAGRO","Cian Agro Ind & Infra","X","1.0000","1","ES","E","BSE","40.9600","37.0600","","","-1"
"532820","ELAND","E-Land Apparel","XT","1.0000","1","ES","E","BSE","8.2900","7.5100","","","-1"
"1185","AMBER","Amber Enterprises","EQ","5.0000","1","ES","E","NSE","3993.4000","3613.1000","","","26281"
"540769","NIACL","The New India Assu Co","A","5.0000","1","ES","E","BSE","264.3000","176.2000","","","-1"
"543064","SUVENPHAR","Suven Pharmaceuticals","A","5.0000","1","ES","E","BSE","772.0000","514.7000","","","-1"
"13517","EMAMILTD","Emami","EQ","5.0000","1","ES","E","NSE","548.9000","496.7000","","","191186"
"18220","KECL","Kirloskar Electric Co","EQ","5.0000","1","ES","E","NSE","182.3500","165.0500","","","575677"
"522281","RAMRAT","Ram Ratna Wires","B","5.0000","1","ES","E","BSE","454.3500","302.9500","","","-1"
"513353","COCHINM","Cochin Minerals & Rutile","X","5.0000","1","ES","E","BSE","335.0000","223.4000","","","-1"
"532649","NECLIFE","Nectar Lifesciences","B","1.0000","1","ES","E","BSE","40.1400","26.7600","","","-1"
"14712","HGS","Hinduja Global Sols.","EQ","5.0000","1","ES","E","NSE","865.1000","782.7500","","","121324"
"539524","LALPATHLAB","Dr. Lal Pathlabs","A","5.0000","1","ES","E","BSE","2583.7000","2114.0000","","","-1"
"540168","SUPRAPFSL","Supra Pacific Management","X","1.0000","1","ES","E","BSE","36.9000","24.6000","","","-1"
