"security_id","symbol","name","series","tick_size","lot_size","instrument_type","segment","exchange","upper_limit","lower_limit","expiry_date","strike_price","freeze_quantity"
"52215","LTIM-Jun2024-FUT","LTIM JUN FUT","","5.0000","150","FUTSTK","D","NSE","5256.2000","4300.5500","2024-06-27 14:00:00","","4501"
"52216","LTTS-Jun2024-FUT","LTTS JUN FUT","","5.0000","100","FUTSTK","D","NSE","4873.2500","3987.2000","2024-06-27 14:00:00","","5001"
"52217","LUPIN-Jun2024-FUT","LUPIN JUN FUT","","5.0000","425","FUTSTK","D","NSE","1828.6000","1496.1500","2024-06-27 14:00:00","","17001"
"52218","M&M-Jun2024-FUT","M&M JUN FUT","","5.0000","350","FUTSTK","D","NSE","2773.8500","2269.5000","2024-06-27 14:00:00","","10501"
"52219","M&MFIN-Jun2024-FUT","M&MFIN JUN FUT","","5.0000","2000","FUTSTK","D","NSE","287.0000","234.8500","2024-06-27 14:00:00","","80001"
"52221","MANAPPURAM-Jun2024-FUT","MANAPPURAM JUN FUT","","5.0000","3000","FUTSTK","D","NSE","198.3500","162.3000","2024-06-27 14:00:00","","120001"
"52231","MARICO-Jun2024-FUT","MARICO JUN FUT","","5.0000","1200","FUTSTK","D","NSE","657.3500","537.8000","2024-06-27 14:00:00","","48001"
"52232","MARUTI-Jun2024-FUT","MARUTI JUN FUT","","5.0000","50","FUTSTK","D","NSE","13993.0500","11448.9000","2024-06-27 14:00:00","","2001"
"52236","MCDOWELL-N-Jun2024-FUT","MCDOWELL-N JUN FUT","","5.0000","700","FUTSTK","D","NSE","1309.6500","1071.5000","2024-06-27 14:00:00","","21001"
"52237","MCX-Jun2024-FUT","MCX JUN FUT","","5.0000","200","FUTSTK","D","NSE","4501.0500","3682.7000","2024-06-27 14:00:00","","6001"
"52238","METROPOLIS-Jun2024-FUT","METROPOLIS JUN FUT","","5.0000","400","FUTSTK","D","NSE","1977.9000","1618.2500","2024-06-27 14:00:00","","12001"
"52239","MFSL-Jun2024-FUT","MFSL JUN FUT","","5.0000","800","FUTSTK","D","NSE","1139.0500","931.9500","2024-06-27 14:00:00","","24001"
"52242","MGL-Jun2024-FUT","MGL JUN FUT","","5.0000","400","FUTSTK","D","NSE","1462.0500","1196.2000","2024-06-27 14:00:00","","16001"
"52243","MOTHERSON-Jun2024-FUT","MOTHERSON JUN FUT","","5.0000","7100","FUTSTK","D","NSE","144.3000","118.0500","2024-06-27 14:00:00","","213001"
"52244","MPHASIS-Jun2024-FUT","MPHASIS JUN FUT","","5.0000","275","FUTSTK","D","NSE","2571.7000","2104.1500","2024-06-27 14:00:00","","11001"
"52245","MRF-Jun2024-FUT","MRF JUN FUT","","5.0000","5","FUTSTK","D","NSE","142119.8000","116279.8500","2024-06-27 14:00:00","","201"
"52254","MUTHOOTFIN-Jun2024-FUT","MUTHOOTFIN JUN FUT","","5.0000","550","FUTSTK","D","NSE","1853.1500","1516.2000","2024-06-27 14:00:00","","16501"
"52255","NATIONALUM-Jun2024-FUT","NATIONALUM JUN FUT","","5.0000","3750","FUTSTK","D","NSE","221.9500","181.6000","2024-06-27 14:00:00","","150001"
"52264","NAUKRI-Jun2024-FUT","NAUKRI JUN FUT","","5.0000","150","FUTSTK","D","NSE","6883.7000","5632.1500","2024-06-27 14:00:00","","4501"
"52265","NAVINFLUOR-Jun2024-FUT","NAVINFLUOR JUN FUT","","5.0000","150","FUTSTK","D","NSE","3808.6000","3116.1500","2024-06-27 14:00:00","","7001"
"52349","NESTLEIND-Jun2024-FUT","NESTLEIND JUN FUT","","5.0000","200","FUTSTK","D","NSE","2780.9500","2275.3000","2024-06-27 14:00:00","","10001"
